,playerid,date_of_birth,place_of_birth,nation,height,weight,shoots,rights,under_contract,draft_year,draft_round,draft_pick,draft_team,shortname,status,nhl_draft,rankings,catches,draft_year_eligible,load_date,player_name,position,nhl_likelihood,most_likelihood_nhl_node,nhl_expected_value
206,339499,1999-10-17,"Raleigh, NC, USA",Russia                                                                                             /  USA,178.0,84.0,L,Colorado Avalanche,False,2018,6,171,Colorado Avalanche,nikolai-kovalenko,,,,,2018,2020-06-03,Nikolai Kovalenko,F,0.01,10,2.9
207,289231,1999-01-29,"Burlington, ON, CAN",Canada,183.0,76.0,L,Arizona Coyotes,True,2017,6,172,Toronto Maple Leafs,ryan-mcgregor,,,,,2017,2020-06-03,Ryan McGregor,F,0.13,6,27.5
208,254246,1998-03-05,"Windsor, ON, CAN",Canada,180.0,82.0,L,,,2016,6,172,Philadelphia Flyers,anthony-salinitri,,,,,2016,2020-06-03,Anthony Salinitri,F,0.12,6,30.2
209,360952,2000-01-27,"Waterloo, ON, CAN",Canada,183.0,80.0,L,,,2018,6,172,New Jersey Devils,mitchell-hoelscher,,,,,2018,2020-06-03,Mitchell Hoelscher,F,0.25,13,68.6
210,327230,2000-10-04,"Edina, MN, USA",USA,183.0,98.0,L,Dallas Stars,False,2019,6,173,Dallas Stars,ben-brinkman,,,,,2019,2020-06-03,Ben Brinkman,D,0.08,10,14.2
211,319958,1999-01-24,"Lévis, QC, CAN",Canada,191.0,93.0,L,,,2017,6,173,Boston Bruins,cedric-pare,,,,,2017,2020-06-03,Cédric Paré,F,0.12,5,21.9
212,354061,2000-04-03,"Grand Rapids, MN, USA",USA,183.0,89.0,L,Philadelphia Flyers,False,2018,6,174,Philadelphia Flyers,gavin-hain,,,,,2018,2020-06-03,Gavin Hain,F,0.04,11,22.7
213,398544,2000-12-23,"Sarov, RUS",Russia,178.0,74.0,L,Arizona Coyotes,False,2019,6,174,Arizona Coyotes,danil-savunov,,,,,2019,2020-06-03,Danil Savunov,F,0.06,28,35.0
214,272426,2000-07-28,"Prerov, CZE",Czech Rep.,181.0,83.0,L,Vancouver Canucks,False,2019,6,175,Vancouver Canucks,karel-plasek,,,,,2018,2020-06-03,Karel Plasek,F,0.07,18,33.5
215,239804,1998-06-11,"Burlington, ON, CAN",Canada,188.0,91.0,L,,,2017,6,175,St. Louis Blues,trent-bourque,,,,,2016,2020-06-03,Trent Bourque,D,0.19,5,28.8
216,234450,1997-09-15,"Bellevue, WA, USA",Canada                                                                                             /  USA,193.0,96.0,L,,,2015,6,176,St. Louis Blues,liam-dunda,,,,,2016,2020-06-03,Liam Dunda,F,0.11,6,0.9
217,438110,2000-10-07,"Richmond Hill, ON, CAN",Canada,180.0,83.0,R,Arizona Coyotes,False,2019,6,176,Arizona Coyotes,anthony-romano,,,,,2019,2020-06-03,Anthony Romano,F,0.04,9,12.9
218,212688,1998-03-17,"Mora, SWE",Sweden,187.0,77.0,R,,,2016,6,176,Dallas Stars,jakob-stenqvist,,,,,2016,2020-06-03,Jakob Stenqvist,D,0.06,4,15.8
219,273659,1999-02-17,"Moskva, RUS",Russia,184.0,80.0,L,,,2017,6,176,Nashville Predators,pavel-koltygin,,,,,2017,2020-06-03,Pavel Koltygin,F,0.01,9,0.7
220,345585,1999-07-27,"Raleigh, NC, USA",USA                                                                                             /  Canada,188.0,80.0,L,Edmonton Oilers,False,2017,6,177,Edmonton Oilers,skyler-brind-amour,,,,,2017,2020-06-03,Skyler Brind'Amour,F,0.09,6,32.3
221,324561,1998-04-13,"Ryazan, RUS",Russia,205.0,107.0,L,Tampa Bay Lightning,True,2016,6,178,Tampa Bay Lightning,oleg-sosunov,,,,,2016,2020-06-03,Oleg Sosunov,D,0.1,5,19.6
222,267823,1998-10-21,"Kingston, ON, CAN",Canada,188.0,87.0,R,Anaheim Ducks,True,2018,6,178,Anaheim Ducks,hunter-drew,,,,,2017,2020-06-03,Hunter Drew,D,0.04,3,5.9
